d1,d2,type
DB01016,DB01238,1
DB00682,DB04918,1
DB00470,DB00673,1
DB00270,DB01351,1
DB04844,DB09117,1
DB00344,DB00715,1
DB01119,DB01136,1
DB00193,DB01104,1
DB00231,DB01173,1
DB01113,DB01353,1
DB00382,DB00804,1
DB00214,DB01032,1
DB01080,DB06204,1
DB00196,DB09049,1
DB01242,DB09065,1
DB00370,DB00555,1
DB00741,DB09063,1
DB00468,DB04905,1
DB01232,DB06695,1
DB00201,DB00269,1
DB00780,DB09042,1
DB00186,DB01017,1
DB01032,DB01603,1
DB00203,DB00582,1
DB01166,DB08827,1
DB00974,DB08918,1
DB00898,DB06702,1
DB00625,DB08873,1
DB00601,DB06701,1
DB00325,DB01235,1
DB00554,DB00684,1
DB01035,DB01337,1
DB08865,DB08895,1
DB00884,DB00955,1
DB00975,DB00989,1
DB01601,DB05521,1
DB01149,DB09049,1
DB00368,DB01203,1
DB00975,DB00981,1
DB00588,DB09054,1
DB00266,DB00605,1
DB00346,DB00752,1
DB00273,DB08883,1
DB00474,DB00653,1
DB00816,DB00999,1
DB01021,DB01224,1
DB00529,DB01082,1
DB00310,DB00333,1
DB00690,DB09118,1
DB00983,DB01556,1
DB00898,DB00985,1
DB00252,DB01558,1
DB00344,DB00408,1
DB01017,DB09146,1
DB00346,DB05521,1
DB00450,DB04908,1
DB00765,DB01242,1
DB00332,DB00782,1
DB00413,DB06288,1
DB00215,DB04844,1
DB00831,DB01356,1
DB00669,DB00831,1
DB00318,DB00333,1
DB00633,DB01203,1
DB00224,DB06335,1
DB00578,DB01172,1
DB00390,DB04855,1
DB00334,DB00865,1
DB00393,DB00648,1
DB01114,DB01173,1
DB00035,DB00458,1
DB00182,DB01037,1
DB00191,DB00588,1
DB00307,DB09034,1
DB01211,DB09048,1
DB00784,DB06695,1
DB00181,DB00557,1
DB00420,DB01579,1
DB00343,DB01392,1
DB01067,DB01203,1
DB00627,DB01251,1
DB01030,DB08912,1
DB00381,DB00794,1
DB00220,DB01411,1
DB00528,DB01264,1
DB00307,DB08865,1
DB00898,DB01236,1
DB01242,DB09280,1
DB00321,DB00604,1
DB00175,DB09104,1
DB01009,DB01275,1
DB00199,DB00564,1
DB00321,DB00470,1
DB00908,DB08899,1
DB00215,DB00898,1
DB00489,DB00708,1
DB00423,DB09034,1
DB00482,DB00657,1
DB00320,DB00872,1
DB00872,DB01609,1
DB01165,DB09267,1
DB00484,DB00960,1
DB00559,DB01181,1
DB00564,DB06201,1
DB00780,DB01255,1
DB01264,DB06603,1
DB00912,DB01120,1
DB00540,DB06204,1
DB00438,DB00452,1
DB00500,DB00563,1
DB00387,DB01036,1
DB00381,DB00582,1
DB01016,DB06216,1
DB00796,DB01392,1
DB00280,DB08912,1
DB00794,DB09054,1
DB00434,DB00601,1
DB01041,DB05271,1
DB00908,DB09068,1
DB00500,DB06695,1
DB01609,DB06216,1
DB00196,DB00502,1
DB00484,DB00611,1
DB00794,DB01045,1
DB00425,DB00559,1
DB00243,DB00834,1
DB00898,DB00980,1
DB00270,DB02703,1
DB01018,DB01201,1
DB00474,DB00790,1
DB00196,DB01320,1
DB00737,DB09272,1
DB00220,DB01624,1
DB00862,DB01254,1
DB01355,DB01359,1
DB00401,DB06207,1
DB00476,DB00492,1
DB01623,DB04871,1
DB01021,DB01142,1
DB00384,DB00881,1
DB00765,DB01219,1
DB00539,DB08873,1
DB00373,DB00472,1
DB00434,DB01021,1
DB00338,DB06695,1
DB00384,DB00712,1
DB00477,DB05812,1
DB00524,DB00854,1
DB01009,DB03615,1
DB08826,DB11248,1
DB09075,DB09291,1
DB00495,DB01211,1
DB00277,DB01359,1
DB00177,DB00270,1
DB00648,DB09053,1
DB00613,DB01029,1
DB00199,DB09027,1
DB00864,DB00997,1
DB00956,DB01406,1
DB01224,DB09117,1
DB00310,DB01016,1
DB00237,DB00373,1
DB00202,DB00674,1
DB01198,DB01254,1
DB08820,DB09075,1
DB00263,DB00277,1
DB00752,DB01142,1
DB00208,DB01142,1
DB00908,DB06717,1
DB01124,DB01403,1
DB00277,DB01609,1
DB00633,DB00780,1
DB00370,DB08933,1
DB00864,DB01656,1
DB00425,DB01236,1
DB00540,DB09065,1
DB00715,DB01278,1
DB00564,DB00752,1
DB00366,DB01595,1
DB00196,DB06605,1
DB01174,DB05812,1
DB00310,DB01356,1
DB00220,DB00530,1
DB00559,DB00612,1
DB00382,DB00875,1
DB00470,DB00503,1
DB00503,DB09053,1
DB00573,DB00798,1
DB00470,DB00852,1
DB00196,DB00619,1
DB00317,DB05812,1
DB00182,DB00835,1
DB00184,DB01351,1
DB00266,DB00485,1
DB00956,DB04831,1
DB00563,DB01399,1
DB00220,DB09054,1
DB00282,DB06589,1
DB00181,DB01440,1
DB00252,DB00502,1
DB00938,DB02703,1
DB01045,DB01264,1
DB00615,DB09053,1
DB08918,DB09211,1
DB00246,DB01037,1
DB00728,DB03615,1
DB00673,DB01115,1
DB00312,DB00765,1
DB00652,DB00653,1
DB00273,DB00972,1
DB00370,DB09073,1
DB00396,DB01251,1
DB00950,DB09290,1
DB00460,DB00623,1
DB00834,DB06789,1
DB00938,DB01072,1
DB03619,DB04272,1
DB00182,DB00985,1
DB00860,DB08907,1
DB00539,DB09065,1
DB00258,DB00528,1
DB00401,DB01264,1
DB00598,DB03128,1
DB01074,DB01167,1
DB01403,DB06684,1
DB00834,DB01120,1
DB00222,DB00224,1
DB00397,DB06704,1
DB00625,DB09073,1
DB00390,DB01436,1
DB00933,DB01069,1
DB00279,DB09068,1
DB01418,DB02546,1
DB00315,DB06288,1
DB08899,DB09401,1
DB01005,DB08895,1
DB00215,DB01151,1
DB00715,DB00806,1
DB00333,DB08873,1
DB00370,DB00404,1
DB00178,DB01354,1
DB00927,DB01416,1
DB00275,DB00374,1
DB00321,DB00749,1
DB00960,DB09083,1
DB01192,DB09290,1
DB00220,DB06684,1
DB00752,DB09274,1
DB00976,DB01100,1
DB00697,DB01026,1
DB00344,DB01264,1
DB00270,DB00590,1
DB00313,DB01232,1
DB00962,DB01017,1
DB00295,DB01591,1
DB00575,DB08877,1
DB00252,DB00990,1
DB00618,DB01603,1
DB00188,DB00571,1
DB00691,DB00806,1
DB00715,DB00737,1
DB00275,DB04884,1
DB00865,DB06706,1
DB00080,DB01076,1
DB00934,DB01017,1
DB00455,DB00661,1
DB01220,DB04868,1
DB00472,DB00608,1
DB00498,DB00991,1
DB00998,DB01178,1
DB00397,DB01288,1
DB01151,DB06704,1
DB00401,DB01164,1
DB00307,DB04845,1
DB01320,DB09074,1
DB00997,DB09291,1
DB00474,DB06706,1
DB05109,DB08899,1
DB01264,DB06695,1
DB00006,DB00946,1
DB00921,DB01021,1
DB00661,DB09026,1
DB00569,DB09123,1
DB00465,DB00945,1
DB01136,DB09027,1
DB00312,DB00446,1
DB00598,DB01274,1
DB00503,DB01167,1
DB00252,DB01181,1
DB00254,DB00564,1
DB00417,DB01418,1
DB00418,DB00528,1
DB00601,DB06700,1
DB00321,DB09009,1
DB00408,DB01274,1
DB00887,DB01124,1
DB01320,DB09034,1
DB00196,DB00726,1
DB00470,DB01577,1
DB05676,DB08931,1
DB00443,DB06203,1
DB00208,DB00213,1
DB01126,DB08873,1
DB00182,DB06724,1
DB00387,DB00880,1
DB00794,DB09053,1
DB00176,DB00697,1
DB00841,DB00937,1
DB01239,DB01576,1
DB00745,DB08912,1
DB00601,DB01142,1
DB00252,DB05521,1
DB00806,DB09026,1
DB00364,DB01070,1
DB00312,DB01242,1
DB00201,DB01365,1
DB00998,DB01100,1
DB00872,DB01184,1
DB06704,DB06711,1
DB00492,DB09292,1
DB00366,DB00967,1
DB00264,DB01104,1
DB00951,DB01236,1
DB09027,DB09280,1
DB00343,DB09118,1
DB00615,DB01117,1
DB00482,DB00679,1
DB00181,DB00660,1
DB00972,DB01192,1
DB00425,DB02703,1
DB00830,DB00937,1
DB00989,DB03128,1
DB00250,DB09054,1
DB00969,DB01232,1
DB00188,DB00752,1
DB00214,DB00346,1
DB01156,DB01601,1
DB00598,DB06706,1
DB01174,DB06335,1
DB00104,DB00318,1
DB00766,DB00798,1
DB00176,DB00851,1
DB00497,DB06204,1
DB00458,DB01156,1
DB00857,DB06335,1
DB00745,DB06616,1
DB00540,DB03880,1
DB00294,DB01041,1
DB00448,DB01026,1
DB00732,DB01234,1
DB09054,DB09143,1
DB01621,DB08907,1
DB00121,DB06723,1
DB01259,DB08916,1
DB01200,DB01624,1
DB00661,DB08893,1
DB00912,DB01403,1
DB00715,DB01124,1
DB00642,DB00749,1
DB05246,DB08883,1
DB06218,DB09063,1
DB00628,DB06290,1
DB01320,DB01601,1
DB00867,DB09080,1
DB00682,DB00775,1
DB00186,DB00425,1
DB00343,DB06684,1
DB00682,DB01036,1
DB01126,DB01232,1
DB00182,DB01377,1
DB00829,DB00898,1
DB00601,DB00938,1
DB01129,DB06616,1
DB00780,DB04946,1
DB00682,DB00823,1
DB00196,DB05239,1
DB01144,DB01560,1
DB00477,DB04861,1
DB02703,DB08820,1
DB00177,DB01214,1
DB00181,DB00427,1
DB00457,DB00484,1
DB05812,DB06207,1
DB00278,DB09070,1
DB01082,DB01147,1
DB00175,DB01264,1
DB00598,DB06711,1
DB00341,DB09034,1
DB03619,DB06684,1
DB00530,DB09118,1
DB00764,DB01021,1
DB00188,DB00924,1
DB01095,DB01238,1
DB00264,DB00608,1
DB00325,DB00401,1
DB00850,DB01264,1
DB01100,DB01173,1
DB00691,DB06196,1
DB05812,DB09071,1
DB00555,DB05271,1
DB04837,DB09271,1
DB00989,DB08895,1
DB00104,DB00472,1
DB00323,DB00413,1
DB00370,DB00906,1
DB00623,DB06700,1
DB00454,DB09072,1
DB01590,DB04868,1
DB00850,DB06603,1
DB00401,DB11110,1
DB00264,DB01012,1
DB00903,DB01354,1
DB00593,DB00653,1
DB00624,DB09038,1
DB00193,DB01253,1
DB00313,DB00564,1
DB01215,DB01320,1
DB00391,DB01142,1
DB00543,DB00780,1
DB00474,DB01395,1
DB00528,DB00653,1
DB00187,DB00476,1
DB01021,DB01351,1
DB01320,DB04845,1
DB00206,DB00474,1
DB01184,DB09042,1
DB00673,DB06772,1
DB00559,DB00883,1
DB01254,DB05521,1
DB04946,DB09118,1
DB00353,DB01026,1
DB00605,DB01395,1
DB01268,DB06695,1
DB00480,DB08895,1
DB00220,DB09034,1
DB00564,DB00819,1
DB06290,DB06335,1
DB00224,DB00604,1
DB00373,DB09083,1
DB00653,DB00962,1
DB00898,DB06201,1
DB00277,DB00648,1
DB00343,DB01119,1
DB00283,DB08897,1
DB00331,DB08815,1
DB00213,DB00582,1
DB00422,DB06144,1
DB00215,DB04868,1
DB00672,DB00912,1
DB00508,DB06700,1
DB01609,DB08873,1
DB00461,DB04272,1
DB00889,DB01037,1
DB00343,DB00418,1
DB01016,DB01267,1
DB00401,DB00820,1
DB01114,DB09034,1
DB01076,DB09118,1
DB00390,DB00684,1
DB00898,DB01041,1
DB00559,DB09073,1
DB00035,DB00726,1
DB00912,DB01021,1
DB00418,DB01403,1
DB00318,DB04855,1
DB00582,DB00717,1
DB00961,DB04861,1
DB00337,DB01263,1
DB00384,DB09125,1
DB00370,DB01219,1
DB00215,DB01267,1
DB00582,DB08881,1
DB00250,DB00359,1
DB00231,DB00956,1
DB00196,DB01218,1
DB01320,DB09079,1
DB01175,DB06605,1
DB00601,DB01623,1
DB00359,DB08912,1
