d1,d2,type
DB00988,DB01288,1
DB06636,DB08827,1
DB01591,DB01609,1
DB00273,DB00557,1
DB00204,DB01142,1
DB06210,DB11110,1
DB01174,DB01427,1
DB01095,DB05109,1
DB00557,DB04924,1
DB00582,DB01427,1
DB00921,DB01114,1
DB00661,DB01351,1
DB00454,DB00611,1
DB00331,DB01264,1
DB01210,DB01353,1
DB00628,DB06717,1
DB00860,DB01120,1
DB00285,DB04842,1
DB06413,DB09073,1
DB01590,DB02703,1
DB00752,DB01069,1
DB00465,DB01032,1
DB00199,DB06203,1
DB01267,DB04896,1
DB00346,DB00503,1
DB00332,DB00771,1
DB00420,DB08918,1
DB04884,DB08918,1
DB01018,DB01392,1
DB01337,DB03615,1
DB00397,DB06714,1
DB00642,DB01050,1
DB01050,DB09211,1
DB00557,DB00906,1
DB00277,DB00829,1
DB00425,DB08933,1
DB01203,DB09282,1
DB00177,DB00457,1
DB00366,DB00490,1
DB01062,DB01409,1
DB00557,DB00949,1
DB00932,DB06441,1
DB00975,DB01359,1
DB00950,DB09290,1
DB00775,DB00946,1
DB00391,DB08897,1
DB00559,DB01590,1
DB00708,DB09034,1
DB00360,DB00563,1
DB00661,DB01339,1
DB01356,DB01403,1
DB06201,DB06690,1
DB00615,DB00976,1
DB00834,DB00889,1
DB00374,DB01340,1
DB00266,DB01015,1
DB00300,DB01600,1
DB00367,DB01232,1
DB00343,DB01184,1
DB00672,DB00752,1
DB00993,DB01656,1
DB00227,DB01039,1
DB00220,DB01129,1
DB00492,DB01392,1
DB00312,DB00682,1
DB00317,DB00448,1
DB00395,DB00470,1
DB00884,DB01263,1
DB01175,DB02703,1
DB00543,DB01267,1
DB00586,DB00684,1
DB00508,DB01104,1
DB00675,DB01006,1
DB00346,DB09477,1
DB00648,DB09049,1
DB00484,DB04908,1
DB01211,DB08903,1
DB00252,DB00612,1
DB00193,DB06700,1
DB01198,DB09063,1
DB00688,DB01208,1
DB00367,DB01320,1
DB00191,DB00933,1
DB00850,DB04896,1
DB00199,DB00648,1
DB00972,DB01017,1
DB08826,DB09322,1
DB00343,DB01353,1
DB09068,DB09118,1
DB00250,DB06708,1
DB00363,DB09053,1
DB01560,DB06723,1
DB00468,DB09027,1
DB00191,DB00252,1
DB01194,DB09065,1
DB00841,DB09082,1
DB08912,DB09291,1
DB05521,DB06589,1
DB01149,DB01184,1
DB00565,DB00908,1
DB06414,DB08912,1
DB00765,DB01080,1
DB00227,DB00468,1
DB00408,DB00490,1
DB01239,DB01577,1
DB00341,DB01403,1
DB00549,DB09280,1
DB00476,DB00726,1
DB00695,DB01551,1
DB00745,DB08912,1
DB05521,DB08903,1
DB01232,DB09039,1
DB01218,DB08873,1
DB00186,DB09072,1
DB00706,DB01263,1
DB01247,DB01403,1
DB00761,DB01403,1
DB00237,DB00615,1
DB01621,DB09072,1
DB00384,DB09242,1
DB00523,DB09073,1
DB00404,DB00765,1
DB01041,DB01623,1
DB00932,DB01071,1
DB00209,DB01278,1
DB00468,DB06335,1
DB00346,DB03880,1
DB00206,DB01220,1
DB00349,DB01041,1
DB00601,DB09209,1
DB00181,DB04844,1
DB00843,DB03128,1
DB00770,DB00820,1
DB06144,DB09097,1
DB00470,DB01291,1
DB00196,DB01036,1
DB01066,DB09104,1
DB00104,DB06663,1
DB01356,DB01577,1
DB00661,DB01337,1
DB00472,DB01238,1
DB00398,DB00864,1
DB06636,DB09118,1
DB01076,DB09048,1
DB00976,DB09118,1
DB01037,DB06148,1
DB00814,DB01609,1
DB00537,DB00834,1
DB00252,DB05109,1
DB00220,DB00675,1
DB00319,DB00452,1
DB00637,DB05521,1
DB00224,DB00637,1
DB01148,DB04924,1
DB01124,DB01319,1
DB00619,DB01222,1
DB00206,DB00612,1
DB01018,DB08895,1
DB00328,DB00974,1
DB00420,DB01577,1
DB00180,DB00615,1
DB01259,DB06480,1
DB00903,DB04876,1
DB00613,DB01072,1
DB06413,DB08912,1
DB00983,DB00988,1
DB00213,DB06589,1
DB01253,DB01624,1
DB00603,DB00974,1
DB02703,DB09083,1
DB00334,DB01577,1
DB00398,DB01174,1
DB00675,DB01609,1
DB00366,DB04844,1
DB00333,DB06767,1
DB00986,DB11181,1
DB00641,DB05109,1
DB00193,DB00752,1
DB00898,DB09300,1
DB00014,DB00270,1
DB00382,DB06702,1
DB00233,DB00563,1
DB00880,DB09220,1
DB00425,DB01151,1
DB01095,DB04839,1
DB00307,DB00608,1
DB00484,DB01215,1
DB00752,DB09042,1
DB01242,DB09039,1
