d1,d2,type
DB00268,DB00273,1
DB00457,DB01354,1
DB00214,DB00452,1
DB00449,DB06700,1
DB00976,DB01222,1
DB00360,DB00820,1
DB00514,DB01238,1
DB08903,DB09083,1
DB00934,DB00972,1
DB00928,DB01656,1
DB00794,DB08822,1
DB00231,DB00425,1
DB00337,DB05109,1
DB01045,DB01319,1
DB00104,DB04861,1
DB00706,DB00857,1
DB00417,DB01017,1
DB00206,DB00268,1
DB01021,DB01261,1
DB00696,DB09118,1
DB00575,DB08883,1
DB00181,DB01100,1
DB00182,DB00502,1
DB00687,DB00999,1
DB01017,DB01236,1
DB04272,DB08816,1
DB00461,DB01395,1
DB00261,DB01418,1
DB00859,DB06723,1
DB00014,DB01137,1
DB00182,DB00933,1
DB00425,DB01263,1
DB00182,DB06413,1
DB00295,DB01144,1
DB00328,DB00384,1
DB00484,DB01354,1
DB00679,DB09076,1
DB00898,DB08827,1
DB00780,DB06207,1
DB00035,DB00497,1
DB00683,DB09054,1
DB00780,DB00871,1
DB01173,DB08872,1
DB00622,DB09059,1
DB01136,DB01354,1
DB00370,DB05812,1
DB00678,DB08912,1
DB00449,DB01359,1
DB00390,DB00728,1
DB01392,DB01589,1
DB00214,DB00798,1
DB00571,DB09282,1
DB00205,DB01136,1
DB00359,DB00715,1
DB00446,DB04339,1
DB00220,DB06414,1
DB00503,DB09166,1
DB00991,DB01275,1
DB00310,DB00816,1
DB04908,DB06480,1
DB06724,DB08864,1
DB00370,DB00593,1
DB00681,DB01263,1
DB00121,DB00301,1
DB00397,DB01288,1
DB06717,DB09074,1
DB01016,DB01110,1
DB00503,DB08896,1
DB01012,DB08820,1
DB00350,DB00794,1
DB00393,DB00619,1
DB00280,DB08897,1
DB08899,DB09118,1
DB00166,DB00412,1
DB00150,DB01037,1
DB00601,DB00623,1
DB00759,DB06724,1
DB00413,DB01236,1
DB01139,DB01418,1
DB00421,DB00945,1
DB01181,DB09119,1
DB00696,DB09065,1
DB00182,DB09042,1
DB00765,DB09072,1
DB00390,DB01204,1
DB00304,DB06290,1
DB00564,DB01167,1
DB00966,DB01119,1
DB06209,DB08873,1
DB00220,DB09401,1
DB00906,DB05271,1
DB00686,DB01166,1
DB00564,DB06335,1
DB00863,DB01254,1
DB00193,DB01267,1
DB00331,DB06825,1
DB00635,DB01208,1
DB00907,DB01071,1
DB00382,DB00959,1
DB00542,DB00752,1
DB00307,DB06626,1
DB00366,DB08910,1
DB00440,DB00584,1
DB00780,DB04946,1
DB01232,DB06207,1
DB08895,DB09330,1
DB00594,DB00945,1
DB01129,DB08912,1
DB00204,DB00908,1
DB00717,DB00949,1
DB00542,DB00780,1
DB00820,DB01162,1
DB00333,DB00408,1
DB00844,DB01173,1
DB00220,DB01221,1
DB01193,DB09083,1
DB01235,DB08931,1
DB01050,DB09214,1
DB01168,DB01235,1
DB00311,DB00921,1
DB00252,DB01234,1
DB00240,DB01609,1
DB00188,DB00794,1
DB00252,DB00773,1
DB00582,DB01074,1
DB01017,DB01603,1
DB00195,DB00457,1
DB00991,DB01021,1
DB00215,DB08912,1
DB01577,DB09273,1
DB01415,DB03615,1
DB01100,DB01278,1
DB00208,DB01035,1
DB00440,DB00563,1
DB00989,DB01239,1
DB00014,DB04855,1
DB09034,DB09128,1
DB01218,DB09054,1
DB00486,DB00909,1
DB00220,DB01072,1
DB00503,DB01114,1
DB00268,DB00395,1
DB00679,DB00780,1
DB00584,DB00780,1
DB00388,DB09288,1
DB01340,DB08907,1
DB00413,DB00418,1
DB00317,DB00338,1
DB00215,DB00916,1
DB00035,DB00295,1
DB00950,DB01167,1
DB00363,DB00675,1
DB00967,DB05271,1
DB01267,DB06203,1
DB08820,DB08933,1
DB00564,DB09118,1
DB00935,DB01556,1
DB01560,DB04946,1
DB00470,DB00477,1
DB00193,DB01609,1
DB00502,DB01577,1
DB01278,DB09076,1
DB00450,DB01174,1
DB05812,DB06207,1
DB00381,DB00484,1
DB00313,DB06290,1
DB00615,DB00908,1
DB00575,DB00898,1
DB06717,DB08820,1
DB00705,DB08820,1
DB00575,DB00806,1
DB00465,DB01551,1
DB00528,DB09065,1
DB00391,DB00831,1
