d1,d2,type
DB00282,DB00712,1
DB00413,DB01041,1
DB00586,DB01275,1
DB00277,DB00865,1
DB00635,DB09220,1
DB00395,DB00972,1
DB00458,DB06704,1
DB00370,DB09073,1
DB00887,DB08882,1
DB01234,DB09102,1
DB00687,DB01026,1
DB00648,DB01058,1
DB00555,DB11093,1
DB00519,DB00794,1
DB01119,DB01193,1
DB00474,DB00881,1
DB00428,DB01656,1
DB00420,DB00656,1
DB00177,DB00991,1
DB00541,DB01118,1
DB01100,DB04896,1
DB00238,DB01181,1
DB00593,DB09054,1
DB05271,DB06282,1
DB00246,DB00366,1
DB00346,DB00820,1
DB00250,DB06697,1
DB00328,DB03619,1
DB01075,DB08897,1
DB06204,DB06690,1
DB01275,DB08976,1
DB00457,DB04920,1
DB00508,DB01247,1
DB00623,DB00715,1
DB01174,DB06176,1
DB00682,DB04896,1
DB00243,DB00564,1
DB01232,DB06218,1
DB00211,DB00486,1
DB00628,DB00898,1
DB00949,DB01174,1
DB00368,DB00561,1
DB00697,DB00734,1
DB00268,DB01242,1
DB00186,DB01623,1
DB01440,DB01567,1
DB00976,DB06684,1
DB00215,DB09054,1
DB01026,DB04339,1
DB00285,DB00784,1
DB00425,DB00683,1
DB00279,DB00682,1
DB00215,DB09042,1
DB00366,DB01171,1
DB00925,DB00996,1
DB00889,DB04896,1
DB01212,DB09268,1
DB04842,DB06700,1
DB00486,DB00938,1
DB01015,DB01208,1
DB00277,DB08881,1
DB01072,DB06203,1
DB01045,DB08880,1
DB00390,DB08873,1
DB00284,DB00945,1
DB00104,DB01018,1
DB00582,DB09128,1
DB01173,DB01558,1
DB00248,DB01624,1
DB01551,DB09214,1
DB00390,DB00524,1
DB00454,DB00767,1
DB00177,DB00814,1
DB06480,DB08865,1
DB06772,DB09054,1
DB01132,DB01241,1
DB01045,DB08873,1
DB00187,DB01203,1
DB01039,DB09064,1
DB00238,DB01167,1
DB01072,DB01198,1
DB00181,DB01403,1
DB00656,DB01609,1
DB01340,DB01353,1
DB00765,DB01069,1
DB01320,DB09049,1
DB00500,DB00790,1
DB00316,DB00564,1
DB00334,DB00484,1
DB01244,DB11126,1
DB00956,DB01106,1
DB00373,DB01158,1
DB01030,DB08827,1
DB00333,DB00625,1
DB00899,DB01203,1
DB00035,DB00476,1
DB01219,DB01244,1
DB00374,DB00945,1
DB00091,DB01172,1
DB00204,DB00280,1
DB08815,DB08883,1
DB00608,DB09083,1
DB00503,DB01232,1
DB00295,DB01175,1
DB00331,DB01590,1
DB00686,DB00946,1
DB01296,DB09030,1
DB01609,DB09074,1
DB00091,DB01764,1
DB00872,DB00938,1
DB01193,DB06701,1
DB00374,DB01241,1
DB01016,DB01403,1
DB00722,DB01355,1
DB00427,DB01403,1
DB00379,DB08910,1
DB00243,DB01609,1
DB00752,DB01614,1
DB00425,DB01192,1
DB00541,DB01234,1
DB00425,DB00854,1
DB00788,DB09285,1
DB00844,DB09034,1
DB00413,DB01351,1
DB01072,DB01244,1
DB00363,DB08882,1
DB00898,DB00911,1
DB00615,DB00957,1
DB00091,DB00381,1
DB00214,DB01015,1
DB00310,DB09083,1
DB00519,DB00945,1
DB00898,DB01018,1
DB00784,DB01208,1
DB00263,DB00780,1
DB00263,DB00390,1
DB00220,DB01219,1
DB01142,DB09072,1
DB00237,DB00400,1
DB00752,DB01291,1
DB00241,DB04841,1
DB00188,DB00208,1
DB00641,DB09065,1
DB09042,DB09080,1
DB00872,DB06684,1
DB01235,DB01247,1
DB00206,DB01590,1
DB01054,DB01164,1
DB00232,DB00776,1
DB00669,DB00875,1
DB00214,DB01192,1
DB00346,DB00401,1
DB00950,DB01278,1
DB00908,DB00956,1
DB01173,DB09290,1
DB00220,DB09143,1
DB00887,DB01354,1
DB00175,DB08873,1
DB00820,DB08873,1
DB00280,DB09118,1
DB00477,DB01104,1
DB00470,DB00949,1
DB00254,DB01294,1
DB00972,DB01320,1
DB00956,DB08933,1
DB00554,DB03619,1
DB00608,DB06723,1
DB08826,DB09104,1
DB00738,DB00834,1
DB00661,DB05812,1
DB01184,DB08873,1
DB00679,DB00989,1
DB00690,DB01017,1
DB00343,DB00497,1
DB00310,DB00820,1
DB04871,DB06237,1
DB00091,DB00177,1
DB00461,DB00932,1
DB01072,DB08864,1
DB00706,DB00884,1
DB00615,DB00962,1
DB00816,DB06698,1
DB08873,DB09102,1
DB01407,DB06701,1
DB00482,DB00834,1
DB01251,DB08815,1
DB01016,DB01238,1
DB00808,DB08882,1
DB00582,DB09054,1
DB00450,DB08893,1
DB00191,DB01577,1
DB00204,DB00529,1
DB00208,DB00946,1
DB00309,DB01149,1
DB00601,DB00679,1
DB00622,DB00864,1
DB00307,DB01395,1
DB00370,DB08881,1
DB01124,DB06218,1
DB00794,DB01320,1
DB01087,DB01614,1
DB00331,DB00898,1
DB00503,DB01263,1
DB00327,DB00898,1
DB00176,DB09291,1
DB00484,DB01193,1
DB01355,DB01359,1
DB00346,DB00834,1
DB01221,DB09072,1
DB00695,DB00752,1
DB00391,DB00455,1
DB01076,DB06724,1
DB08882,DB09063,1
DB00320,DB01038,1
DB00186,DB00754,1
DB00193,DB00956,1
DB00264,DB09083,1
DB00615,DB01357,1
DB01021,DB01164,1
DB00603,DB08883,1
DB00396,DB01232,1
DB00450,DB01238,1
DB00310,DB00921,1
DB00334,DB01594,1
DB00476,DB01151,1
DB00748,DB05271,1
DB00342,DB06717,1
DB00508,DB00674,1
DB01118,DB06290,1
DB01072,DB01229,1
DB00468,DB01340,1
DB00983,DB01365,1
DB00788,DB09295,1
DB00387,DB00875,1
DB01120,DB04876,1
DB00433,DB01356,1
DB01200,DB01238,1
DB06335,DB09054,1
DB00903,DB01172,1
DB00484,DB01247,1
DB00470,DB00475,1
DB00999,DB09083,1
DB00186,DB09071,1
DB00912,DB06203,1
DB00932,DB01609,1
DB00615,DB01023,1
DB00460,DB00759,1
DB04817,DB09073,1
DB00215,DB00218,1
DB01192,DB09117,1
DB00295,DB00425,1
DB00872,DB01621,1
DB00683,DB01403,1
DB00316,DB00794,1
DB01211,DB09053,1
DB00675,DB08820,1
DB00559,DB00834,1
DB00523,DB00595,1
DB00477,DB09042,1
DB04841,DB09034,1
DB08865,DB09065,1
DB01167,DB09101,1
DB00860,DB06717,1
DB00202,DB00454,1
DB00215,DB06788,1
DB00468,DB01223,1
DB00794,DB01142,1
DB00246,DB09072,1
DB06282,DB09117,1
DB00246,DB08907,1
DB00559,DB00603,1
DB00806,DB01193,1
DB01026,DB01220,1
DB00472,DB09068,1
DB00418,DB00956,1
DB00215,DB01267,1
DB00433,DB00898,1
DB01087,DB01609,1
DB00586,DB09295,1
DB00794,DB00908,1
DB00758,DB00806,1
DB00199,DB00220,1
DB00472,DB00508,1
DB00222,DB00877,1
DB01120,DB01380,1
DB06791,DB08877,1
DB01050,DB09053,1
DB00653,DB01189,1
DB00227,DB00503,1
DB00497,DB00956,1
DB00850,DB09272,1
DB00204,DB09039,1
DB00898,DB01330,1
DB00468,DB04861,1
DB01418,DB04896,1
DB08820,DB08916,1
DB00938,DB01579,1
DB05271,DB08883,1
DB00502,DB00972,1
DB00312,DB00335,1
DB00503,DB00582,1
DB00444,DB00872,1
DB01115,DB01174,1
DB04855,DB06480,1
DB00972,DB01351,1
DB01012,DB04844,1
DB00202,DB01017,1
DB00201,DB04865,1
DB00186,DB00765,1
DB00468,DB00622,1
DB00237,DB00555,1
DB00215,DB02546,1
DB00651,DB01567,1
DB00201,DB00996,1
DB00946,DB08918,1
DB00486,DB00871,1
DB00422,DB00610,1
DB04855,DB06212,1
DB00864,DB04572,1
DB01244,DB01264,1
DB00187,DB00960,1
DB01200,DB04884,1
DB00872,DB05109,1
DB00450,DB00967,1
DB00443,DB01120,1
DB00619,DB06335,1
DB01392,DB08822,1
DB00967,DB01409,1
DB00220,DB08875,1
DB00343,DB00559,1
DB00714,DB00834,1
DB00121,DB01060,1
DB00486,DB06690,1
DB00935,DB01620,1
DB00651,DB09042,1
DB01017,DB01041,1
DB00266,DB00472,1
DB00780,DB06701,1
DB01114,DB01238,1
DB00915,DB06288,1
DB00758,DB00974,1
DB00794,DB00999,1
DB01118,DB06616,1
DB00422,DB00622,1
DB00582,DB00900,1
DB00780,DB01356,1
DB00177,DB06210,1
DB00542,DB09220,1
DB01104,DB06605,1
DB00307,DB06290,1
DB00559,DB00904,1
DB00502,DB00765,1
DB00479,DB00739,1
DB00860,DB08895,1
DB00393,DB06207,1
DB00213,DB06616,1
DB00244,DB01390,1
DB00252,DB09053,1
DB01330,DB01418,1
DB00295,DB00332,1
DB00243,DB01072,1
DB00998,DB06262,1
DB00997,DB09102,1
DB00273,DB00662,1
DB00214,DB00816,1
DB00014,DB06216,1
DB01167,DB06480,1
DB00747,DB00898,1
DB00216,DB00673,1
DB00196,DB06717,1
DB00543,DB00956,1
DB01144,DB01294,1
DB00252,DB00715,1
DB00203,DB00677,1
DB00677,DB01098,1
DB00820,DB00932,1
DB00752,DB00960,1
DB06636,DB08867,1
DB00215,DB00831,1
DB00180,DB00607,1
DB00662,DB04924,1
DB01136,DB01232,1
DB00220,DB09102,1
DB01176,DB09117,1
DB00436,DB00661,1
DB00182,DB09555,1
DB00612,DB00961,1
DB00035,DB06204,1
DB01095,DB09055,1
DB00528,DB01351,1
DB00841,DB06706,1
